Protein,Total Fat,Carbohydrate,"Sugars, total","Fiber, total dietary",Calcium,Iron,Sodium,Vitamin D (D2 + D3),Cholesterol,"Fatty acids, total saturated",Potassium,Energy,novaclass
1.48,3.58,7.11,7.11,0.0,44.0,1.21,17.0,1.0,4.0,1.636,56.0,66.0,4
1.49,3.48,6.95,6.95,0.0,44.0,1.18,18.0,0.9,4.0,1.585,55.0,65.0,4
1.4,3.5,6.39,6.4,0.0,41.0,1.18,14.0,0.9,4.0,1.6,55.0,63.0,4
1.64,3.5,6.11,6.11,0.0,69.0,1.18,23.0,1.0,0.0,1.443,79.0,63.0,4
1.64,3.5,6.11,6.11,0.0,69.0,1.18,23.0,1.0,0.0,1.443,79.0,63.0,4
1.63,3.65,6.94,6.94,0.0,70.0,1.18,25.0,1.0,0.0,1.553,78.0,67.0,4
1.62,3.49,7.02,6.85,0.0,71.0,1.16,27.0,1.0,0.0,1.47,78.0,66.0,4
1.64,3.5,6.11,6.11,0.0,69.0,1.18,23.0,1.0,0.0,1.453,79.0,64.0,4
1.64,3.5,6.11,6.11,0.0,69.0,1.18,23.0,1.0,0.0,1.453,79.0,64.0,4
1.63,3.64,6.94,6.94,0.0,70.0,1.18,25.0,1.0,0.0,1.518,78.0,67.0,4
1.62,3.49,6.85,6.85,0.0,71.0,1.23,26.0,1.0,0.0,1.47,78.0,66.0,4
1.61,3.59,6.7,6.7,0.0,69.0,1.18,29.0,1.0,0.0,1.166,71.0,66.0,4
1.61,3.59,6.7,6.7,0.0,69.0,1.18,29.0,1.0,0.0,1.166,71.0,66.0,4
1.6,3.57,6.76,6.7,0.0,70.0,1.18,31.0,1.0,0.0,1.157,71.0,65.0,4
1.61,3.6,6.86,6.78,0.0,72.0,1.19,32.0,1.0,0.0,1.174,71.0,66.0,4
1.61,3.59,6.7,6.7,0.0,69.0,1.18,29.0,1.0,0.0,1.166,71.0,66.0,4
1.61,3.59,6.7,6.7,0.0,69.0,1.18,29.0,1.0,0.0,1.166,71.0,66.0,4
1.61,3.59,6.8,6.74,0.0,70.0,1.18,31.0,1.0,0.0,1.164,71.0,66.0,4
1.58,3.53,6.73,6.65,0.0,70.0,1.16,32.0,1.0,0.0,1.151,70.0,65.0,4
1.63,3.3,7.17,5.69,0.0,68.0,1.25,23.0,1.0,0.0,1.4,75.0,65.0,4
1.63,3.3,7.17,5.69,0.0,68.0,1.25,23.0,1.0,0.0,1.4,75.0,65.0,4
1.64,3.32,7.21,5.73,0.0,69.0,1.17,25.0,1.0,0.0,1.432,75.0,65.0,4
1.57,3.2,6.99,5.57,0.0,69.0,1.13,26.0,1.0,0.0,1.38,73.0,63.0,4
1.6,3.28,7.13,5.68,0.0,67.0,1.15,26.0,1.0,2.0,1.4,74.0,64.0,4
